"Accident_Index","accyr","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location-Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_(CC)","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type","make","model"
"2016010000178","2016","1","9","0","4","0","1","0","0","0","0","4","1","2","1","6","1360","1","14","4","1","PEUGEOT","206 LX AUTO"
"2016010000178","2016","2","9","0","9","0","8","0","0","1","0","3","1","6","1","9","1560","2","-1","3","1","PEUGEOT","308 ACCESS BLUE HDI S/S"
"2016010000179","2016","1","4","0","18","0","6","0","0","0","0","1","1","6","1","6","125","1","3","5","1","Honda","WW 125 EX2-C"
"2016010000180","2016","1","9","0","18","0","5","5","11","0","0","1","1","2","1","8","2987","2","-1","7","1","MERCEDES","S 350 D L SE EXECUTIVE AUTO"
"2016010000181","2016","1","9","0","10","0","1","0","0","0","0","1","1","6","1","4","2000","1","10","8","1","VOLKSWAGEN","GOLF GTI AUTO"
"2016010000181","2016","2","5","0","18","0","1","0","0","0","0","1","1","6","1","8","798","1","1","8","1","BMW","F 800 R"
"2016010000182","2016","1","9","0","7","0","8","0","0","0","0","3","1","6","3","-1","-1","-1","-1","-1","-1",\0,\0
"2016010000182","2016","2","1","0","18","0","8","0","0","0","0","4","1","1","1","7","-1","-1","-1","-1","1",\0,\0
"2016010000183","2016","1","9","0","6","0","0","0","4","0","0","1","1","6","2","10","980","1","25","5","1","NISSAN","Missing"
"2016010000183","2016","2","9","0","2","0","0","0","0","0","0","2","1","6","3","-1","2494","1","26","-1","-1","BMW","325I SE AUTO"
"2016010000185","2016","1","19","0","18","0","1","0","0","0","0","1","1","2","1","7","2148","2","9","3","1","MERCEDES","SPRINTER 311 CDI MWB"
"2016010000185","2016","2","1","0","4","0","1","0","0","0","0","1","1","6","1","5","-1","-1","-1","1","1",\0,\0
"2016010000186","2016","1","9","0","5","0","2","0","0","0","0","4","1","6","1","7","1364","1","2","1","1","VAUXHALL","MOKKA SE TURBO AUTO"
"2016010000186","2016","2","1","0","5","0","2","0","0","0","0","3","1","2","1","7","-1","-1","-1","3","1",\0,\0
"2016010000189","2016","1","3","0","18","6","0","0","0","0","0","0","1","2","1","8","-1","-1","-1","4","1",\0,\0
"2016010000189","2016","2","1","0","18","6","0","0","10","0","0","0","1","2","1","6","-1","-1","-1","6","1",\0,\0
"2016010000191","2016","1","9","0","18","0","2","0","0","0","0","2","1","6","2","8","-1","-1","-1","-1","1",\0,\0
"2016010000191","2016","2","3","0","18","0","2","0","0","0","0","1","1","1","1","6","-1","-1","-1","-1","1",\0,\0
